epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,878.561,0.72128,0.61887,1.11538,0.92614,0.99106,0.995,0.76326,0.8411,0.44132,1.20826,0.000127467,0.000127467,0.000127467
140,885.938,0.70946,0.58244,1.10294,0.93179,0.9907,0.995,0.77583,0.81599,0.43994,1.18848,0.000118035,0.000118035,0.000118035
141,894.279,0.53037,0.38691,0.9834,0.95825,0.98442,0.995,0.77383,0.84024,0.45355,1.20932,0.000108604,0.000108604,0.000108604
142,901.345,0.53163,0.38276,0.99379,0.9575,0.97784,0.995,0.75124,0.83553,0.4733,1.21633,9.91726e-05,9.91726e-05,9.91726e-05
143,907.04,0.53664,0.37941,1.01773,0.9434,0.9801,0.99344,0.73902,0.85929,0.47997,1.2488,8.97412e-05,8.97412e-05,8.97412e-05
144,913.891,0.54105,0.38294,1.00667,0.93832,0.97778,0.98908,0.73188,0.83805,0.48809,1.23718,8.03098e-05,8.03098e-05,8.03098e-05
145,919.133,0.49829,0.34301,0.98013,0.93299,0.97778,0.98753,0.73737,0.82562,0.48926,1.2223,7.08784e-05,7.08784e-05,7.08784e-05
146,924.885,0.49822,0.34987,0.9862,0.93396,0.97873,0.99189,0.75643,0.81538,0.47533,1.20569,6.1447e-05,6.1447e-05,6.1447e-05
147,931.646,0.49085,0.33624,1.00083,0.93625,0.98138,0.99344,0.75074,0.81283,0.47679,1.20336,5.20156e-05,5.20156e-05,5.20156e-05
148,937.009,0.50367,0.35715,0.98466,0.92994,0.98915,0.99344,0.74487,0.81845,0.46392,1.21001,4.25842e-05,4.25842e-05,4.25842e-05
149,943.286,0.48785,0.34858,0.98226,0.95782,0.98553,0.995,0.75383,0.82601,0.45929,1.21605,3.31528e-05,3.31528e-05,3.31528e-05
150,949.117,0.4754,0.33447,0.96809,0.95689,0.98421,0.995,0.74813,0.83173,0.46249,1.22162,2.37214e-05,2.37214e-05,2.37214e-05
